Elapsed time (s),Therm 1 Temp (C),Therm 2 Temp (C),Battery Voltage (V),Payload Current (mA),Sun Angle (degrees)
0.351,23.029,22.165,8.546,1.315,172.8
0.58772,23.029,22.165,8.527,1.335,180
0.81088,23.029,22.165,8.556,1.335,172.8
1.034,23.11,22.245,8.507,1.325,180
1.2461,22.949,22.165,8.507,1.295,172.8
1.4673,23.029,22.165,8.497,1.514,180
1.7075,23.029,22.245,8.507,1.285,172.8
1.9167,23.029,22.165,8.497,1.315,180
2.1388,23.029,22.165,8.497,1.285,172.8
2.3659,22.949,22.165,8.497,1.315,180
2.6051,23.029,22.488,8.497,1.295,172.8
2.8103,22.949,22.165,8.487,1.325,180
3.0405,23.029,22.165,8.546,1.345,172.8
3.2747,22.949,22.165,8.487,1.315,180
3.4819,23.029,22.245,8.487,1.325,172.8
3.7081,23.029,22.245,8.477,1.315,180
3.9323,23.029,22.165,8.477,1.315,187.2
4.1544,23.029,22.165,8.477,1.325,194.4
4.3956,23.029,22.245,8.467,1.454,201.6
4.5887,23.029,22.245,8.537,1.375,208.8
4.8119,23.029,22.245,8.467,1.315,216
5.0511,22.949,22.245,8.467,1.315,223.2
5.2762,23.029,22.245,8.467,1.315,230.4
5.5004,23.029,22.245,8.467,1.454,237.6
5.7076,23.029,22.245,8.537,1.385,244.8
5.9448,23.029,22.084,8.457,1.305,252
6.16,23.029,22.245,8.457,1.315,259.2
6.3781,23.029,22.245,8.457,1.295,266.4
6.6032,23.029,22.245,8.457,1.325,273.6
6.8264,23.029,22.165,8.457,1.325,280.8
7.0826,23.029,22.165,8.447,1.285,288
7.3067,23.029,22.165,8.447,1.474,295.2
7.5319,23.029,22.245,8.596,1.454,302.4
7.7371,23.029,22.245,8.447,1.315,309.6
7.9473,23.029,22.245,8.437,1.305,316.8
8.1913,23.029,22.245,8.447,1.315,324
8.4286,22.949,22.165,8.447,1.325,331.2
8.6347,23.029,22.165,8.437,1.315,338.4
8.858,23.029,22.165,8.437,1.255,345.6
9.0812,23.029,22.165,8.437,1.295,352.8
9.2059,23.029,22.165,8.606,1.474,360
9.4024,23.029,22.165,8.437,1.305,360
9.6466,23.029,22.165,8.447,1.285,352.8
9.8817,22.949,22.165,8.447,1.305,345.6
10.106,23.029,22.165,8.437,1.295,338.4
10.318,23.029,22.165,8.507,1.355,331.2
10.554,23.029,22.165,8.437,1.285,324
10.764,23.029,22.165,8.546,1.395,316.8
10.985,23.029,22.245,8.437,1.285,309.6
11.211,23.029,22.245,8.437,1.285,302.4
11.436,23.029,22.245,8.437,1.285,295.2
11.678,23.029,22.165,8.427,1.275,288
11.912,23.029,22.165,8.487,1.335,280.8
12.137,23.029,22.165,8.427,1.295,273.6
12.361,22.949,22.165,8.427,1.295,266.4
12.585,23.029,22.165,8.427,1.295,259.2
12.811,23.029,22.165,8.427,1.285,252
13.022,23.029,22.165,8.407,1.295,259.2
13.242,23.029,22.245,8.417,1.315,266.4
13.484,23.029,22.165,8.407,1.305,273.6
13.705,23.029,22.245,8.407,1.305,280.8
13.933,23.029,22.165,8.407,1.305,288
14.154,23.029,22.165,8.437,1.335,295.2
14.377,23.029,22.165,8.407,1.305,302.4
14.616,23.029,22.165,8.407,1.315,309.6
14.826,23.029,22.165,8.407,1.315,316.8
15.049,23.029,22.165,8.616,1.514,324
15.273,23.029,22.165,8.138,1.046,331.2
15.516,23.029,22.245,8.407,1.315,338.4
15.737,22.949,22.165,8.397,1.305,345.6
15.959,23.029,22.165,8.397,1.245,352.8
16.168,23.029,22.165,8.397,1.315,360
16.395,23.029,22.165,8.397,1.315,7.2
16.632,23.029,22.245,8.397,1.305,14.4
16.841,23.11,22.165,8.397,1.315,21.6
17.065,23.029,22.165,8.397,1.315,28.8
17.289,23.11,22.165,8.397,1.315,36
17.513,22.949,22.165,8.387,1.305,43.2
17.737,23.029,22.084,8.397,1.325,50.4
17.962,23.029,22.165,8.387,1.305,57.6
18.185,23.029,22.165,8.606,1.524,64.8
18.41,23.029,22.165,8.716,1.634,72
18.632,23.029,22.165,8.387,1.594,79.2
18.856,23.029,22.165,8.387,1.305,86.4
19.08,23.029,22.165,8.377,1.315,93.6
19.305,23.029,22.73,8.377,1.305,100.8
19.53,23.029,22.165,8.377,1.335,108
19.77,23.029,22.165,8.437,1.355,115.2
19.897,23.029,22.165,8.377,1.305,122.4
20.036,23.029,22.165,8.377,1.365,122.4
20.2,23.029,22.165,8.377,1.315,122.4
20.412,23.029,22.165,8.387,1.414,115.2
20.638,23.029,22.165,8.387,1.275,108
20.859,23.029,22.004,8.387,1.285,100.8
